18201	0
18202	0
18203	0
18204	1
18205	0
18206	0
18207	1
18208	0
18209	0
18210	0
18211	1
18212	0
18213	1
18214	0
18215	1
18216	1
18217	0
18218	1
18219	0
18220	0
18221	0
18222	0
18223	0
18224	1
18225	0
18226	0
18227	0
18228	1
18229	0
18230	0
18231	0
18232	0
18233	0
18234	1
18235	0
18236	0
18237	0
18238	0
18239	0
18240	0
18241	0
18242	0
18243	1
18244	0
18245	0
18246	1
18247	0
18248	0
18249	1
18250	0
18251	0
18252	0
18253	0
18254	0
18255	0
18256	1
18257	1
18258	1
18259	1
18260	0
18261	0
18262	0
18263	0
18264	1
18265	0
18266	0
18267	1
18268	0
18269	0
18270	0
18271	1
18272	0
18273	0
18274	0
18275	0
18276	1
18277	0
18278	0
18279	0
18280	1
18281	0
18282	1
18283	0
18284	1
18285	0
18286	1
18287	0
18288	0
18289	0
18290	0
18291	0
18292	0
18293	0
18294	1
18295	0
18296	1
18297	0
18298	1
18299	0
18300	0
18301	0
18302	0
18303	0
18304	0
18305	0
18306	1
18307	0
18308	0
18309	0
18310	0
18311	0
18312	1
18313	1
18314	0
18315	1
18316	1
18317	0
18318	1
18319	1
18320	1
18321	0
18322	1
18323	0
18324	1
18325	1
18326	0
18327	1
18328	1
18329	0
18330	0
18331	0
18332	0
18333	0
18334	0
18335	1
18336	1
18337	0
18338	0
18339	0
18340	1
18341	1
18342	0
18343	0
18344	0
18345	0
18346	0
18347	1
18348	0
18349	0
18350	0
18351	0
18352	1
18353	1
18354	0
18355	0
18356	0
18357	0
18358	0
18359	1
18360	1
18361	0
18362	0
18363	0
18364	0
18365	0
18366	1
18367	0
18368	0
18369	1
18370	0
18371	0
18372	0
18373	0
18374	0
18375	0
18376	1
18377	0
18378	0
18379	1
18380	0
18381	0
18382	0
18383	0
18384	0
18385	1
18386	1
18387	1
18388	1
18389	1
18390	1
18391	0
18392	1
18393	0
18394	0
18395	1
18396	0
18397	1
18398	1
18399	0
18400	0
18401	1
18402	1
18403	0
18404	0
18405	1
18406	0
18407	1
18408	1
18409	0
18410	1
18411	0
18412	0
18413	1
18414	1
18415	0
18416	1
18417	0
18418	1
18419	0
18420	1
18421	0
18422	1
18423	0
18424	0
18425	0
18426	0
18427	0
18428	1
18429	0
18430	0
18431	0
18432	0
18433	0
18434	1
18435	0
18436	0
18437	0
18438	0
18439	1
18440	0
18441	0
18442	1
18443	0
18444	0
18445	0
18446	1
18447	0
18448	0
18449	0
18450	0
18451	0
18452	0
18453	0
18454	1
18455	0
18456	0
18457	0
18458	1
18459	0
18460	0
18461	0
18462	0
18463	1
18464	0
18465	1
18466	0
18467	0
18468	1
18469	0
18470	1
18471	1
18472	0
18473	0
18474	0
18475	1
18476	0
18477	1
18478	0
18479	1
18480	0
18481	0
18482	1
18483	1
18484	0
18485	0
18486	0
18487	0
18488	0
18489	0
18490	1
18491	0
18492	0
18493	0
18494	1
18495	0
18496	1
18497	0
18498	1
18499	0
18500	0
18501	0
18502	0
18503	0
18504	0
18505	1
18506	0
18507	0
18508	0
18509	0
18510	0
18511	1
18512	0
18513	1
18514	0
18515	0
18516	1
18517	0
18518	1
